arg-id,x,y,probability,cluster-id
A185001345000000001_0,5.154289,7.4112334,1.0,0
A185001345000000002_0,7.878846,3.0887816,1.0,0
A185001345000000002_1,12.249474,1.1234366,1.0,5
A185001345000000002_2,10.254568,4.906302,1.0,6
A185001345000000002_3,6.002756,7.4368863,0.0,0
A185001345000000003_0,8.497189,0.28995645,0.717114272101636,2
A185001345000000003_1,13.322509,1.7709152,1.0,5
A185001345000000003_2,9.023798,0.171013,0.0,2
A185001345000000003_3,9.792391,1.5990433,0.0,2
A185001345000000003_4,5.244279,6.618719,1.0,0
A185001345000000004_0,10.812889,6.7454243,0.0,6
A185001345000000004_1,5.326352,6.712428,1.0,0
A185001345000000004_2,5.224479,6.6524315,1.0,0
A185001345000000004_3,8.274886,2.0899026,1.0,2
A185001345000000004_4,5.2041125,6.593413,0.741911030384866,0
A185001345000000005_0,10.061945,2.0102959,1.0,2
A185001345000000005_1,11.057293,0.05467456,1.0,5
A185001345000000005_2,5.082631,7.078654,1.0,0
A185001345000000005_3,11.392872,0.9680479,0.0,5
A185001345000000006_0,7.384098,2.6979601,0.0,0
A185001345000000006_1,8.307289,1.1980915,0.0,2
A185001345000000007_0,8.973915,3.1597283,0.0,0
A185001345000000007_1,5.994318,6.291271,1.0,0
A185001345000000007_2,8.427574,1.7752883,1.0,2
A185001345000000007_3,8.074006,7.2817054,1.0,1
A185001345000000008_0,11.83797,1.7985281,0.0,5
A185001345000000008_1,11.784331,3.0125165,0.5093801630083804,4
A185001345000000009_0,9.669512,3.4410005,0.0,0
A185001345000000009_1,11.228062,1.0679342,0.8421371595503984,5
A185001345000000010_0,11.781797,0.966414,0.0,5
A185001345000000010_1,9.910332,3.076632,1.0,0
A185001345000000010_2,9.07141,6.920139,0.6871915544589461,6
A185001345000000010_3,10.785486,0.99936074,1.0,5
A185001345000000011_0,9.997142,3.153877,1.0,0
A185001345000000011_1,9.659919,3.3179352,0.0,0
A185001345000000011_2,8.077839,0.47670564,0.0,2
A185001345000000011_3,8.010968,0.39675322,0.0,2
A185001345000000011_4,8.041839,0.47394583,0.0,2
A185001345000000012_0,11.195969,3.3753219,1.0,4
A185001345000000012_1,12.041155,0.40382043,1.0,5
A185001345000000013_0,8.148555,7.2650795,0.0,1
A185001345000000013_1,5.300809,6.699518,1.0,0
A185001345000000013_2,8.403208,7.337936,1.0,1
A185001345000000013_3,10.877229,1.6678684,1.0,5
A185001345000000013_4,10.542619,0.6275552,1.0,5
A185001345000000013_5,5.2621784,6.6635923,0.9866490716633745,0
A185001345000000014_0,9.859878,0.2034246,0.46984694793628273,2
A185001345000000014_1,13.808157,4.1092567,1.0,4
A185001345000000014_2,9.681845,0.26528478,1.0,2
A185001345000000015_0,11.826594,3.3318567,0.9568696690839156,4
A185001345000000015_1,9.364721,5.549695,1.0,6
A185001345000000016_0,11.929282,3.9939575,0.5410341785560134,4
A185001345000000016_1,11.096672,4.5926886,0.0,4
A185001345000000018_0,9.76012,4.0503197,0.8831351686982017,0
A185001345000000018_1,9.88483,4.2292895,0.8695164433507987,0
A185001345000000018_2,9.039169,5.4561334,0.6597668125964102,6
A185001345000000019_0,5.606598,6.650631,0.5172669252323274,0
A185001345000000019_1,8.820906,1.2427784,0.893892669336644,2
A185001345000000019_2,10.020716,2.0042934,0.8976105749613589,2
A185001345000000019_3,10.643677,1.5568522,0.0,5
A185001345000000019_4,10.579577,2.5267713,0.6505260286485539,0
A185001345000000019_5,10.287751,0.85231966,0.4878019879263213,2
A185001345000000019_6,10.534784,1.5473759,0.0,5
A185001345000000020_0,12.798606,3.5626853,1.0,4
A185001345000000020_1,13.522819,3.9363167,0.7839136483630902,4
A185001345000000021_0,8.60591,0.7561084,1.0,2
A185001345000000021_1,7.821413,1.6613858,0.9063064049235057,2
A185001345000000022_0,8.264147,0.31163615,0.0,2
A185001345000000023_0,10.045616,7.000423,1.0,6
A185001345000000023_1,9.025243,4.219638,0.0,0
A185001345000000023_2,9.451537,5.220263,1.0,6
A185001345000000024_0,12.749093,1.5537504,1.0,5
A185001345000000024_1,10.581301,2.404695,1.0,5
A185001345000000024_2,11.39482,-0.59474164,0.0,5
A185001345000000024_3,12.656405,4.4853597,1.0,4
A185001345000000025_0,10.246284,3.0544486,1.0,0
A185001345000000025_1,9.639901,3.6160297,0.7119598593962466,0
A185001345000000025_2,10.1466875,3.1312618,1.0,0
A185001345000000025_3,10.14302,3.1790252,0.9073157349999613,0
A185001345000000025_4,10.166088,3.1373951,1.0,0
A185001345000000025_5,10.122924,3.1322992,1.0,0
A185001345000000026_0,9.839441,2.6190333,0.9887051806773843,0
A185001345000000026_1,5.0755773,7.5422955,0.0,0
A185001345000000026_2,8.251783,4.628649,0.9640884235768107,0
A185001345000000026_3,9.611368,4.2020574,1.0,0
A185001345000000026_4,5.0984344,7.5709896,0.6091110607029497,0
A185001345000000027_0,9.05543,-0.7937049,0.0,2
A185001345000000027_1,8.779033,0.37406904,1.0,2
A185001345000000028_0,10.640157,5.9186554,1.0,6
A185001345000000028_1,12.328058,3.0476494,1.0,4
A185001345000000028_2,10.864239,1.5150312,0.9264425624454712,5
A185001345000000028_3,5.129977,7.711758,0.0,0
A185001345000000029_0,10.99813,6.692219,1.0,6
A185001345000000029_1,10.807681,1.731272,0.0,5
A185001345000000030_0,8.32271,3.3106663,1.0,0
A185001345000000030_1,7.968172,3.7637818,1.0,0
A185001345000000030_2,10.947624,3.711409,0.0,4
A185001345000000030_3,12.019399,1.8463656,0.6308571298638133,5
A185001345000000030_4,8.141193,0.7135411,1.0,2
A185001345000000031_0,12.609328,1.0320808,1.0,5
A185001345000000031_1,8.770185,-0.3326476,1.0,2
A185001345000000031_2,12.062981,0.83014315,1.0,5
A185001345000000031_3,13.582939,2.0783374,1.0,5
A185001345000000031_4,13.704021,2.2016754,1.0,5
A185001345000000031_5,6.5403185,6.838094,0.9234375996715509,0
A185001345000000031_6,8.715617,-0.26225305,0.669279059176856,2
A185001345000000032_0,11.84053,0.9981751,0.0,5
A185001345000000032_1,12.6666975,0.78248084,1.0,5
A185001345000000032_2,11.262395,0.8743902,1.0,5
A185001345000000032_3,13.175183,2.0904658,1.0,5
A185001345000000032_4,11.438286,0.9439898,0.0,5
A185001345000000033_0,10.692978,3.1403117,0.7898519525754821,0
A185001345000000033_1,10.397136,2.5377614,0.9598824524178171,0
A185001345000000033_2,10.78021,2.912437,1.0,0
A185001345000000033_3,11.125429,0.6142404,1.0,5
A185001345000000033_4,8.625049,2.6576326,0.6593872904962376,0
A185001345000000034_0,8.823368,4.4240923,0.0,0
A185001345000000034_1,10.374126,1.6303166,1.0,5
A185001345000000035_0,9.693108,5.8818855,1.0,6
A185001345000000035_1,9.652851,5.915129,1.0,6
A185001345000000036_0,8.832881,3.1218002,0.4302089905989746,0
A185001345000000036_1,8.442411,3.2542074,0.9383145772769745,0
A185001345000000036_2,9.876267,4.577376,0.0,6
